date_sent	topic	title	authors	venue	url	summary
2026-04-15	Model Behavior	Health behavior analysis in prevention of dengue Hemorrhagic fever based on the health belief model at the Matali Sub-district community in Kotamobagu city, North Sulawesi Province of Indonesia	Rahdinan Julyoputera Paputungan, Josef S.B. Tuda, Jehosua S.V. Sinolungan	Open Access Research Journal of Biology and Pharmacy	https://doi.org/10.53022/oarjbp.2026.16.2.0026	This study examined how people in Matali Sub-district understood dengue fever risks and practiced mosquito-control methods. Researchers found that while people generally agreed on the importance of dengue prevention, certain aspects of the health belief model and specific mosquito eradication activities were more influential in promoting protective behaviors. These findings highlight that combining education about perceived risks with practical, targeted mosquito control strategies is crucial for effectively preventing dengue outbreaks in communities.
2026-04-15	AI for Education	Emotion-Aware Adaptive Learning System: Integrating Reinforcement and Affective Computing	G. Abhishek, Mrs. P. Sireesha, C. Taruni, K. Srinivas	INTERNATIONAL JOURNAL OF SCIENTIFIC RESEARCH IN ENGINEERING AND MANAGEMENT	https://doi.org/10.55041/ijsrem59393	This paper introduces an Emotion-Aware Adaptive Learning System (EAALS) that personalizes online learning by recognizing a student's feelings, not just their academic progress. The system uses AI, including voice, text, and facial analysis, to understand a learner's emotional state and then dynamically adjusts educational materials, explanations, and quizzes accordingly. This approach matters because understanding a learner's emotions can significantly improve their learning experience and outcomes, leading to more effective and engaging education.
2026-04-15	AI for Education	A Game-Based Simulation Builder for Adaptive Learning, Design, and Nursing Care	Priya Ravi Majmundar	International Journal of Drug Delivery Technology	https://doi.org/10.25258/ijddt.16.6s.100	This paper explored a new virtual reality game where nursing students practice making patient care decisions in realistic scenarios. They found that this simulation, which adjusts its difficulty based on how well students perform, helped them make better clinical choices and improve their skills. This tool offers a promising way to train nurses more effectively and engagingly, even though there's still work to do on improving the AI and making it accessible to more students.
2026-04-15	Breaking News in Tech	In Vitro Study of the Role of Factor IX in Treatment of Breakthrough Bleeds in Patients with Hemophilia A and Inhibitors Receiving Emicizumab	M. Janbain, Laurie Josset, A. Leuci, Karam Zakharia, R. Ksayer, C. Nougier, Cindy Leissinger, Y. Dargaud	TH Open	https://doi.org/10.1055/a-2834-3178	"Here's a plain-English summary for a weekly digest:

This study investigated if adding Factor IX (FIX) could help stop bleeding in hemophilia A patients with inhibitors who are already taking emicizumab. Researchers found that while both FIX and existing bypass treatments improved blood clotting, FIX did so more gently and without reaching potentially risky levels seen with higher doses of bypass agents. This suggests FIX might be a safer option to control breakthrough bleeds in these patients and could reduce the risk of dangerous blood clots."
2026-04-15	Breaking News in Tech	Breakthrough Mold Infections During Long-term Nebulized Liposomal Amphotericin B Prophylaxis in Lung Transplant Recipients: A Single-center Cohort (NEBULA Study)	Arnau Monforte, I. Los-Arcos, M. Martín-Gómez, C. Berastegui, E. Márquez-Algaba, J. Sacanell, Joel Rosado, A. Falcó-Roget, Gonzalo Escudero, J. Casanovas, Cristina Kirkegaard-Biosca, B. Sáez-Giménez, V. Monforte, J. Gavaldà, Oscar Len	Transplantation	https://doi.org/10.1097/tp.0000000000005686	Lung transplant recipients often develop mold infections, and this study looked at how well nebulized liposomal amphotericin B (n-LAB) worked as a preventative treatment. The researchers found that this inhaled antifungal medication was generally well-tolerated and helped prevent mold infections in most patients over long periods, even though some still got infections. This matters because it suggests n-LAB could be a useful option for protecting lung transplant patients from dangerous mold infections without causing too many side effects.
2026-04-15	Major AI Players	AI-Powered Lawyering: AI Reasoning Models, Retrieval Augmented Generation, and the Future of Legal Practice	Dan Schwarcz, Sam Manning, J. Prescott, P. Barry, David R. Cleveland, B. Rich	Journal of Law &amp; Empirical Analysis	https://doi.org/10.1177/2755323x261427048	This study tested how two new AI tools, one that finds relevant legal information (RAG) and another that structures complex thinking, affect legal work. Researchers found that both AI tools significantly improved the quality of legal tasks, boosting productivity by up to 130% and performing particularly well on complex drafting and analysis, unlike older AI models. This suggests that these advanced AI technologies can enhance lawyers' capabilities and efficiency, potentially reshaping how legal services are delivered.
2026-04-15	Major AI Players	AI Resume Studio: An Intelligent Full-Stack Career Platform Leveraging Large Language Models for Resume Analysis, Skill Gap Detection, and Interview Preparation	Bodapati Harsha Vardhan	International Journal for Research in Applied Science and Engineering Technology	https://doi.org/10.22214/ijraset.2026.79571	This paper describes AI Resume Studio, a new online tool that uses AI to help job seekers create resumes, identify skill gaps, and practice for interviews. The study found that this AI-powered platform significantly improves resume quality, speeds up analysis, and boosts interview performance. This matters because it offers a more efficient and effective way for candidates to prepare for the job market and increase their chances of getting hired.
2026-04-15	Human-AI Interaction & Psychology	Emotional and Physical Intimacy in Couples: Implications for Psychological and Physical Health	F. Alnaser	Journal of Biomedical Research &amp; Environmental Sciences	https://doi.org/10.37871/jbres2272	This study explored how emotional and physical closeness between couples impacts their relationships and well-being. Researchers found that behaviors like affectionate communication and physical touch release feel-good hormones, which can improve health, reduce stress, and boost happiness for both partners. Ultimately, strong intimate connections are vital for marital success, mental and physical health, and overall life satisfaction.
2026-04-15	Human-AI Interaction & Psychology	A COMPUTATIONAL FRAMEWORK FOR ANALYZING THE IMPACT OF PSYCHOLOGICAL DISTRESS ON EEG HEMISPHERIC SYNCHRONY	Jordan Brown, Mahmood Hossain, Tadashi Kato	Proceedings of the West Virginia Academy of Science	https://doi.org/10.55632/pwvas.v98i1.1328	This study developed a computational method to analyze how psychological distress, like depression and anger, affects brainwave synchrony between the left and right hemispheres. The researchers found that different types of distress are linked to distinct patterns of brain synchrony, particularly in specific brain regions and frequency bands. Understanding these brain activity patterns could help us better diagnose and treat mental health conditions by providing objective markers of emotional states.
2026-04-15	AI for Education	Dynamic Cognition Graph for Adaptive Learning: Integrating Reasoning Evidence and Reinforcement Learning	Ying Li, Yiming Gai, Xingyu Wang, Leilei Sun, Xuefei Huang	Applied Sciences	https://doi.org/10.3390/app16073580	This paper introduces a new way to understand how students learn by modeling their knowledge as a constantly changing graph. The researchers found that by carefully observing students' thinking processes and using a smart AI system, they could better predict what students know and how to help them learn more effectively. This research matters because it could lead to more personalized and efficient educational tools that adapt to each student's unique learning journey.
2026-04-15	AI for Education	An Optimized Deep Learning Framework for Liver Tumor Detection from Ultrasound Images Using Hybrid CNN and Adaptive Image Enhancement	SD. Abid Hussain, M. M. Madhulika, D. Gayathri, C. Sravanthi, D. Jagan Mohan Reddy, J. Sowmya	INTERNATIONAL JOURNAL OF SCIENTIFIC RESEARCH IN ENGINEERING AND MANAGEMENT	https://doi.org/10.55041/ijsrem59148	This research developed a smart computer system to help find liver tumors in ultrasound images, which are often blurry and hard to read. They combined image enhancement techniques with a special type of artificial intelligence called a Hybrid CNN, and found it could accurately detect tumors, even small ones, with 98.6% accuracy. This improved detection could lead to earlier diagnosis of liver cancer, potentially saving lives.
2026-04-15	AI Ethics	Ethics of AI-based supply chain optimization: a better balance between efficiency and fairness	Trupti Raikar, Favour Ezeugboaja, Santhosh Bussa, Hemang Upadhyay, Poojitha Kalaru	Future Technology	https://doi.org/10.55670/fpll.futech.5.2.26	This study looked into the ethical challenges of using AI to make supply chains more efficient, like hidden biases in algorithms and job losses from automation. Researchers found that AI can unintentionally create unfair outcomes, such as prioritizing certain goods over essential needs, and can displace workers in the logistics industry. Understanding and addressing these ethical issues is crucial for ensuring AI benefits everyone by promoting both efficiency and fairness in global trade.
2026-04-15	AI Ethics	HFed-CMS: Cluster-Based Hierarchical Federated Multitask Learning With Fair Edge Node Selection	Peng Wang, Jiayin Liu, Youquan Xian, Kaichen Peng, Peng Liu, Xianxian Li	IEEE Internet of Things Journal	https://doi.org/10.1109/JIOT.2026.3661124	This paper introduces a new way to train machine learning models across many devices in a hierarchical network, called HFed-CMS. They found that by grouping similar devices and predicting which ones can handle tasks before assigning them, their method trains models more reliably and fairly, even when devices have very different capabilities. This matters because it allows for better and more efficient machine learning on edge devices, like your smart home gadgets, without leaving anyone behind.
2026-04-15	AI Research Advances	QUEST: Quasar unsupervised encoder and synthesis tool. A machine-learning framework for generating quasar spectra	F. Guarneri, J. Schindler, R. Meyer, D. Yang, J. Hennawi, L. Lucie-Smith, S. Bosman, F. B. Davies	Astronomy &amp; Astrophysics	https://doi.org/10.1051/0004-6361/202557763	This paper introduces QUEST, a machine learning tool that can create realistic artificial quasar spectra. Researchers found that QUEST effectively captures the physical properties of quasars and can generate data that matches real observations. This tool will help astronomers find and study faint quasars at very early cosmic times, crucial for understanding how black holes grew.
2026-04-15	AI Research Advances	Frontier Convergences in Nuclear Astrophysics: Neutrino Quantum Kinetics, Three-Nucleon Forces from Multimessenger AI Inference, Deformation of the Doubly Magic ²⁰⁸Pb Nucleus, r-Process Nuclear Data Breakthroughs, and Neural-Network Quantum States — A Synthesis Shaping the Next Decade	Dr. Arti Pandoh Gupta	International Journal of Science, Strategic Management and Technology	https://doi.org/10.55041/ijsmt.v2i4.080	This paper synthesizes five recent breakthroughs in nuclear astrophysics concerning the extreme conditions found in neutron stars. Researchers discovered that quantum effects in neutrinos significantly alter the production of heavy elements during neutron star mergers, that artificial intelligence can now link cosmic observations to the fundamental forces within atomic nuclei, and that even supposedly perfect nuclei have subtle deformations impacting our understanding of element creation. These findings are crucial for interpreting signals from gravitational waves, neutrinos, and light to unravel the universe's most energetic events and the origin of the elements.
2026-04-15	Human-AI Interaction & Psychology	Navigating uncertainty in human-AI relationships: An investigation of communal uncertainty reduction strategies	Hongyuan Gan, Han Li, Jinyuan Zhan, Renwen Zhang	New Media &amp; Society	https://doi.org/10.1177/14614448261433959	This study explored how people reduce uncertainty when interacting with AI companions like Replika, finding that users don't just talk to the AI, but also rely heavily on online communities to understand and predict AI behavior. The research discovered that by sharing experiences and advice in these communities, people gain a better understanding of AI, fostering a sense of shared knowledge and solidarity. This matters because it shows that building trust and navigating the complexities of human-AI relationships involves a community effort, not just individual interactions.
2026-04-15	Human-AI Interaction & Psychology	A HYBRID HUMAN-AI WEB SYSTEM FOR REAL-TIME MENTAL HEALTH COUNSELLING AND CHRONIC DISEASE MANAGEMENT	M. M. Lawal, Abdulrashid Abdulrauf	Science Journal of University of Zakho	https://doi.org/10.25271/sjuoz.2026.14.2.1753	This study developed a new online system that combines AI chatbots with human counselors to help people manage chronic diseases and their mental health, even with poor internet. The system was found to be more accurate and engaging for users, especially those with limited digital access. This is important because it offers a more accessible and effective way to provide ongoing support for health and well-being.
2026-04-15	AI for Health	Adaptive ensemble of multivariate filters with Harris Hawks optimization for feature selection in medical diagnosis	Safaa Y. Al-Adwan, Salwani Abdullah, Mohammed Alweshah, Wandeep Kaur Ratan Singh, Aws Al-Qaisi, Maen Takruri, Sofian Kassaymeh	PeerJ Computer Science	https://doi.org/10.7717/peerj-cs.3739	This paper presents a new method called AE-MVF to select the most important features from medical data for diagnosis. The researchers found that AE-MVF effectively reduces the number of features while improving diagnostic accuracy, even for complex datasets. This approach can help create more accurate and easier-to-understand diagnostic models for medical professionals.
2026-04-15	AI for Health	AI-Based Hybrid Medical Diagnosis System Using Fuzzy Logic and Neural Networks	Mr. Mahesh Fulchand Solunke and Megha Jalindhar Ja	International Journal of Advanced Research in Science, Communication and Technology	https://doi.org/10.48175/ijarsct-6553	This paper presents a new AI system that combines fuzzy logic and neural networks to diagnose five common diseases, like COVID-19 and Dengue, based on patient symptoms. The study found that this hybrid approach can accurately predict diseases by handling vague symptoms and providing explainable results, unlike traditional methods. This matters because it offers a more reliable and understandable way to diagnose illnesses, especially in places with limited access to healthcare.
2026-04-15	AI Ethics	Adaptive Governance for Health AI: A Policy and Regulatory Control Framework to Balance Innovation, Human Values, and Societal Well-Being	Natalie Leesakul, M. Kammer-Kerwick, Pepita Barnard, Richard Hyde, Yang Lu	ACM Journal on Responsible Computing	https://doi.org/10.1145/3793925	This paper proposes a new approach to governing artificial intelligence (AI) in healthcare. It found that current AI development needs a flexible system that learns and adapts to ensure new technologies are safe and beneficial for everyone. This research matters because it offers a way to encourage innovation in health AI while prioritizing human values and societal well-being.
2026-04-15	AI Ethics	The impact of technology dependency in higher education: A critical examination of cognitive, behavioural and societal outcomes	Antony D. Miller	World Journal of Advanced Research and Reviews	https://doi.org/10.30574/wjarr.2026.29.3.0738	This research critically examines how increasing reliance on technology, especially AI, in universities is affecting students' thinking, learning, and social skills, with particular focus on Gen Z. It found that this dependency may be hindering critical thinking and knowledge retention, while also highlighting concerns about aggressive behavior when devices are unavailable and a general passive learning approach. The study emphasizes the need for a balanced approach to technology integration that prioritizes foundational skills alongside AI literacy to ensure academic quality and prepare students for future challenges, ultimately urging for thoughtful policy changes to avoid long-term negative consequences.
2026-04-15	Major AI Players	Initial Insights Into an Institutional Secure Large Language Model for Magnetic Resonance Imaging Examination Requests: Retrospective Study	J. Hallinan, Naomi Wenxin Leow, Yi Xian Low, Aric Lee, Wilson Ong, M. Chan, Ganakirthana Kalpenya Devi, Stephanie Shengjie He, D. D. Loh, D. Lim, Xi Zhen Low, Mei Chin Lim, Clement Yong, Weizhong Jonathan Sng, Ee Chin Teo, J. Tan, Naresh Kumar, A. Makmur, Y. Ting	Journal of Medical Internet Research	https://doi.org/10.2196/82579	This study investigated whether an AI language model could improve the quality of information on MRI requests by accessing electronic patient records. The AI successfully enhanced the clinical details provided on requests and showed comparable accuracy to radiologists in selecting appropriate MRI protocols, particularly in choosing whether contrast dye was needed. This suggests that AI could help streamline the MRI request process, leading to more accurate and efficient patient care.
2026-04-15	Major AI Players	Between Code and Faith: How AI Models Understand and Reimagine Religion	Mridul Yadav	International Journal for Research in Applied Science and Engineering Technology	https://doi.org/10.22214/ijraset.2026.78991	"This paper explores how AI models like ChatGPT and Gemini engage with religion, finding that while AI can't truly ""believe"" in a faith, it acts like a religious influencer by shaping people's understanding of spirituality and inspiring new movements. The research analyzed how these AIs represent religious ideas and even imagined what self-designed religions they might create. Ultimately, the study highlights that these AI-generated ""religions"" reveal more about the values of their human creators than any innate spiritual capacity of the AI itself."
2026-04-15	Human-AI Interaction & Psychology	Anticipating Safety and Security Risks of Embodied AI: A Multidimensional Risk Framework for Foundation Models in HRI	Hong Wang, Katie Winkle, Ginevra Castellano	HRI Companion	https://doi.org/10.1145/3776734.3794552	This paper introduces a new way to think about the risks of robots powered by advanced AI, called foundation models. It breaks down how these AI models interact with people and the robot's actions into different categories and then looks at how problems can arise in areas like what the robot says, whether we can trust it, and its overall safety. This framework helps us understand and prevent potential dangers before they happen when humans and robots work together.
